id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude
BCGP0007676,Active,NRM GP TUPPER CREEK A-021-B/093-P-09 001,GP,Tupper Main,Northriver Midstream G And P Canada Inc.,100.0% - Northriver Midstream G And P Canada Inc.,2008-12-23,55.52079,-120.13267
BCGP0007702,Discontinued,CE PORTAGE C-004-A/094-B-01 001,GP,HHG Portage,Canada Energy Partners Inc.,100.0% - Canada Energy Partners Inc.,2008-12-31,56.00412,-122.04528
BCGP0007717,Suspended,CSRI FARRELL CREEK C-093-H/094-B-01 001,GP,Farrell Creek,Canadian Spirit Resources Inc.,100.0% - Canadian Spirit Resources Inc.,2009-06-01,56.16244,-122.03276
BCGP0007727,Active,SHELL GROUNDBIRCH 04-15-080-19 003,GP,Ground Birch 2,Shell Canada Limited,100.0% - Shell Canada Limited,2009-01-29,55.92888,-120.89399
BCGP0007743,Active,ARCRES PARKLAND 03-09-081-16 002,GP,Parkland,Arc Resources Ltd.,100.0% - Arc Resources Ltd.,2009-01-01,56.00161,-120.44386
BCGP0007776,Active,CREW SEPTIMUS 12-27-081-18 001,GP,Septimus,Crew Energy Inc.,100.0% - Crew Energy Inc.,2009-09-25,56.05252,-120.73743
BCGP0007778,Active,PETRONAS FARRELLCREEKWEST B-088-I/094-B-01 001,GP,Farell Creek,Petronas Energy Canada Ltd.,50.0% - Petronas Energy Canada Ltd.; 50.0% - Sasol Canada,2009-11-01,56.23743,-122.09526
BCGP0007795,Active,STRATHCONA GROUNDBIRCH 06-19-080-20 001,GP,Groundbirch,Strathcona Resources Ltd.,100.0% - Strathcona Resources Ltd.,2010-10-18,55.94705,-121.12231
BCGP0007806,Active,CNRL SEPTIMUS 08-22-081-19 001,GP,Septimus,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,2010-11-01,56.03433,-120.87441
BCGP0007808,Active,NRM GP TUPPER CREEK 05-01-077-17 001,GP,Tupper West,Northriver Midstream G And P Canada Inc.,100.0% - Northriver Midstream G And P Canada Inc.,2011-02-21,55.64135,-120.50578
BCGP0007810,Active,SHELL GROUNDBIRCH 04-15-080-19 004,GP,Montney,Shell Canada Limited,100.0% - Shell Canada Limited,2011-04-01,55.92888,-120.89399
BCGP0007812,Active,NRM GP CABIN D-076-J/094-P-04 002,GP,Cabin Lake,Northriver Midstream G And P Canada Inc.,100.0% - Northriver Midstream G And P Canada Inc.,2013-04-23,59.22911,-121.69529
BCGP0007819,Active,TOURMALINE SUNRISE 03-18-080-17 001,GP,Sunrise,Tourmaline Oil Corp.,100.0% - Tourmaline Oil Corp.,2010-08-01,55.92887,-120.65261
BCGP0007830,Cancelled,PARA (ACL) KOMIE B-017-I/094-P-04 004,GP,Komie,Paramount Resources Ltd.,100.0% - Paramount Resources Ltd.,,59.17912,-121.58278
BCGP0007834,Active,PACIFIC CANBRIAM ALTARES B-024-H/094-B-08 001,GP,Altares,Pacific Canbriam Energy Limited,,2011-04-01,56.3541,-122.04526
BCGP0007854,Cancelled,SHELL MONIAS 07-14-078-22 001,GP,Monias,Shell Canada Limited,100.0% - Shell Canada Limited,,55.75775,-121.29508
BCGP0007858,Active,ARCRES SUNRISE 13-36-078-18 001,GP,Sunrise,Arc Resources Ltd.,100.0% - Arc Resources Ltd.,2015-07-14,55.8088,-120.66106
BCGP0007868,Active,SHELL SATURN 03-28-080-20 001,GP,Saturn,Shell Canada Limited,100.0% - Shell Canada Limited,2013-08-21,55.95797,-121.07014
BCGP0007883,Cancelled,TERRA PINTAIL 15-22-084-25 001,GP,Pintail,Terra Energy Corp.,100.0% - Terra Energy Corp.,,56.30278,-121.8586
BCGP0007896,To Be Constructed,SHELL SUNSET PRAIRIE 13-08-080-18 001,GP,Sunset,Shell Canada Limited,100.0% - Shell Canada Limited,,55.92524,-120.78964
BCGP0007925,Active,PETRONAS LILYLAKE A-029-J/094-G-02 001,GP,Lily,Petronas Energy Canada Ltd.,100.0% - Petronas Energy Canada Ltd.,2013-10-05,57.18739,-122.73273
BCGP0007932,Active,LEUCROTTA DOE 13-24-080-15 005,GP,Doe,Leucrotta Exploration Inc.,100.0% - Leucrotta Exploration Inc.,2013-09-04,55.95433,-120.2155
BCGP0007936,Active,TOURMALINE DOE 13-25-080-16 001,GP,West Doe,Tourmaline Oil Corp.,100.0% - Tourmaline Oil Corp.,2013-03-01,55.96887,-120.37206
BCGP0007966,Active,PETRONAS CARIBOU C-016-F/094-G-07 001,GP,Caribou,Petronas Energy Canada Ltd.,,2014-03-18,57.34572,-122.82023
BCGP0007974,Cancelled,NORTHRIVER SUNRISE 15-26-078-17 002,GP,,Northriver Midstream Inc.,,,55.79408,-120.51872
BCGP0008619,Active,CNRL NARRAWAY A-065-A/093-I-09 003,GP,Narraway ( West Pipeline ),Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,2008-09-01,54.55413,-120.05765
