id,status,name,type,plant_name,current_operator,original_operator,co-owner,constructed_date,activated_date,field_name,latitude,longitude,location
ABGP0099099,Suspended,Endev Eyemore,GP,Eyemore,Houston Oil & Gas Ltd.,,100.0% - Houston Oil & Gas Ltd.,1995-01-01,,,50.50115,-112.45292,04-08-018-18W4M
ABGP0099238,Abandoned,Battle 1-24-45-8 W4,GP,Battle River,Cleo Energy Corp.,,100.0% - Cleo Energy Corp.,,,,52.88882,-111.0229,01-24-045-08W4M
ABGP0099610,Active,Bindloss North Gas Plant,GP,Bindloss North,Taqa North Ltd.,,87.0% - Taqa North Ltd.; 2.1% - Obsidian Energy Ltd.; 7.7% - Sabre Energy Ltd.; 1.8% - Signalta Resources Limited; 1.3% - 868218 Alberta Ltd.,,,,50.90169,-110.48071,11-27-022-04W4M
ABGP0099613,Active,Bindloss South Gas Plant,GP,Bindloss South,Taqa North Ltd.,,87.0% - Taqa North Ltd.; 2.1% - Obsidian Energy Ltd.; 7.7% - Sabre Energy Ltd.; 1.3% - 868218 Alberta Ltd.; 1.8% - Signalta Resources Limited,1957-01-01,,,50.88676,-110.38826,11-20-022-03W4M
ABGP0101007,Active,Bonavista Kipp 5-33 Gas Plant,GP,Kipp,Tamarack Acquisition Corp.,,100.0% - Tamarack Acquisition Corp.,1997-01-01,,,49.68933,-112.93414,05-33-008-22W4M
ABGP0102810,Suspended,Eca Wildon Gp 9-29-055-16W4,GP,Willingdon,Sequoia Resources Corp.,,100.0% - Sequoia Resources Corp.,2004-01-01,,,53.78254,-112.33503,09-29-055-16W4M
ABGP0103480,Active,Mbog Sawn Lake 12-29-91-12W5 Gp,GP,Sawn Lake,Surge Energy Inc.,,100.0% - Surge Energy Inc.,,,,56.92484,-115.90367,12-29-091-12W5M
ABGP0104350,Active,Pennwest Esther,GP,Esther,Obsidian Energy Ltd.,,100.0% - Obsidian Energy Ltd.,,,,51.76348,-110.14363,13-19-032-01W4M
ABGP0104557,Active,Sounding Lake 12-30 Gas Plant,GP,Sounding Lake,Surge Energy Inc.,,100.0% - Surge Energy Inc.,2009-01-01,,,52.12298,-110.57333,12-30-036-04W4M
ABGP0105487,Suspended,Pennwest Sousa,GP,Sousa,Obsidian Energy Ltd.,,100.0% - Obsidian Energy Ltd.,,,,58.68336,-118.66605,11-31-111-04W6M
ABGP0105488,Suspended,Pennwest Haro,GP,Haro,Obsidian Energy Ltd.,,100.0% - Obsidian Energy Ltd.,1978-01-01,,,58.07313,-118.76341,11-33-104-05W6M
ABGP0105489,Suspended,Pennwest Lennard,GP,Lennard,Obsidian Energy Ltd.,,100.0% - Obsidian Energy Ltd.,,,,58.30534,-118.88937,12-23-107-06W6M
ABGP0106663,Active,Pcs 03-22-078-12W6 Gp Abgp 0106663,GP,Pouce Coupe,Birchcliff Energy Ltd.,,100.0% - Birchcliff Energy Ltd.,,,,55.76862,-119.77468,03-22-078-12W6M
ABGP0106720,Active,Harmattan Fractionation,GP,Harmattan Fractionation,Altagas Ltd.,,100.0% - Altagas Ltd.,,,,51.68774,-114.47718,09-27-031-04W5M
ABGP0106875,Active,981384 Wimborne 11-21-33-27W4 Gp,GP,Wimborne,Ember Resources Inc.,,100.0% - Ember Resources Inc.,,,,51.84721,-113.77549,11-21-033-27W4M
ABGP0107835,Active,Aav Glacier 05-02-076-12W6 Gp,GP,Glacier,Advantage Energy Ltd.,,100.0% - Advantage Energy Ltd.,2009-01-01,,,55.55419,-119.75506,05-02-076-12W6M
ABGP0110241,Suspended,Altagas Acadia West Gas Plant,GP,Acadia West,Altagas Ltd.,,100.0% - Altagas Ltd.,,,,51.21424,-110.33931,02-15-026-03W4M
