id,licensed_capacity_of_raw_gas_mcf/d,licensed_capacity_of_sales_gas_mcf/d,licensed_capacity_of_ethane_c2_bbl/d,licensed_capacity_of_ethane_plus_c2+_bbl/d,licensed_capacity_of_propane_c3_bbl/d,licensed_capacity_of_butane_c4_bbl/d,licensed_capacity_of_pentane_plus_c5+_bbl/d,licensed_capacity_of_ngl_bbl/d,licensed_capacity_of_lpg_bbl/d,licensed_capacity_of_sulphur_ton/d,design_capacity_of_raw_gas_mcf/d,design_capacity_of_sales_gas_mcf/d,design_capacity_of_oil_bbl/d,design_capacity_of_ethane_c2_bbl/d,design_capacity_of_propane_c3_bbl/d,design_capacity_of_butane_c4_bbl/d,design_capacity_of_pentane_plus_c5+_bbl/d,design_capacity_of_ngl_bbl/d,design_capacity_of_sulphur_ton/d
ABGP0001118,19882.15,,,,,,,,,,15008.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001119,35820.02,26000.07,0.0,0.0,0.0,0.0,0.0,,188.79,,20999.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001120,394782.61,320021.47,,,1931.91,1302.62,20917.5,,14473.6,1201.52,,,,,,,,,
ABGP0001121,83526.24,74867.08,,,,,1038.32,,534.89,,83519.18,74867.08,0.0,0.0,0.0,0.0,1038.32,629.29,54.9
ABGP0001122,119363.56,104178.25,0.0,0.0,2894.72,1950.79,4782.58,,0.0,,111241.19,105943.99,0.0,0.0,2139.58,1384.43,2139.58,0.0,0.0
ABGP0001123,11653.84,10276.57,0.0,0.0,0.0,0.0,0.0,,748.85,,4099.33,2434.59,0.0,0.0,0.0,0.0,0.0,1887.86,0.0
ABGP0001124,494.41,,,,,,,,,,,,,,,,,,
ABGP0001125,42377.59,,,,,,,,,,31783.2,26486.0,2768.86,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001126,3990.56,,,,,,,,,,,,,,,,,,
ABGP0001127,5791.6,5494.96,0.0,0.0,0.0,0.0,74.89,,0.0,,27999.94,27999.94,1887.86,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001128,,,,,,,,,,,,,,,,,,,
ABGP0001129,153014.9,139952.01,0.0,0.0,0.0,0.0,8130.39,,1400.16,,120599.57,120069.85,943.93,0.0,0.0,0.0,1258.57,440.5,110.23
ABGP0001130,52089.13,,,,,,,,,,52089.13,48204.51,0.0,0.0,0.0,0.0,220.25,950.22,0.0
ABGP0001131,127485.93,105131.75,,,,,157.32,,,595.69,113006.92,,0.0,0.0,0.0,0.0,151.03,0.0,551.16
ABGP0001132,21188.8,,,,,,,,,,113006.92,113006.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001133,273618.0,205036.93,,11818.01,,,8703.04,,,,273618.0,205036.93,0.0,0.0,0.0,0.0,6997.67,5260.84,1053.37
ABGP0001134,90052.39,,,,,,,,,,90000.12,59999.96,,,,,,2202.5,337.75
ABGP0001135,8828.67,7981.11,,,,,,,75.51,0.0,10594.4,8828.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001136,2984.09,,,,,,,,,,21188.8,21188.8,0.0,0.0,0.0,0.0,0.0,188.79,0.0
ABGP0001137,988.81,,,,,,,,,,,,,,,,,,
ABGP0001138,4944.05,4061.19,0.0,0.0,0.0,0.0,0.0,,157.32,,2472.03,2048.25,0.0,0.0,0.0,0.0,0.0,943.93,0.0
ABGP0001139,49440.53,42554.17,0.0,0.0,0.0,0.0,1013.15,,0.0,178.57,49440.53,42377.59,0.0,0.0,0.0,0.0,0.0,629.29,181.88
ABGP0001140,8122.37,,,,,,,,,,0.0,9888.11,0.0,0.0,0.0,0.0,0.0,31.46,0.0
ABGP0001141,529719.94,423775.95,,,,,3083.51,,,2170.45,626799.94,509237.43,0.0,0.0,0.0,0.0,1887.86,0.0,
ABGP0001143,5226.57,,,,,,,,,,4944.05,4520.28,503.43,0.0,0.0,0.0,0.0,1006.86,0.0
ABGP0001144,671084.53,584952.07,,15367.19,,,33666.85,,17424.96,2170.46,441433.28,,0.0,0.0,0.0,0.0,7551.44,10068.59,2203.52
ABGP0001145,9817.48,,,,,,,,,,,,,,,,,,
ABGP0001147,336937.19,312146.3,0.0,0.0,0.0,0.0,1903.59,,6083.95,463.85,420244.48,753210.54,0.0,0.0,251.71,251.71,0.0,629.29,132.28
ABGP0001148,2295.45,,,,,,,,,,4590.91,4237.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001149,7451.39,6815.73,0.63,0.0,0.0,0.0,0.0,,166.76,,5473.77,0.0,0.0,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001150,18363.62,18216.72,,,,,100.69,,,,19988.1,2118.88,0.0,0.0,0.0,0.0,0.0,31.46,0.0
ABGP0001151,15008.73,14549.64,,,,,,,120.19,,,,,,,,,,
ABGP0001152,3178.32,,,,,,,,,,,,,,,,,,
ABGP0001153,35314.66,33725.5,,,,,,,805.49,,35314.66,3.53,0.0,0.0,0.0,0.0,0.0,755.14,0.0
ABGP0001154,,,,,,,,,,,,,,,,,,,
ABGP0001155,60034.93,,,,,,,,,,42377.59,35314.66,18878.61,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001156,63884.22,60034.93,,,,,453.09,,836.95,,56503.46,53678.29,0.0,0.0,0.0,0.0,0.0,755.14,0.0
ABGP0001157,5650.35,,,,,,,,,,,,,,,,,,
ABGP0001158,6003.49,4944.05,0.0,0.0,0.0,0.0,0.63,,503.43,,7062.93,5650.35,0.0,0.0,0.0,0.0,0.0,503.43,0.0
ABGP0001159,15997.54,,,,,,,,,,9181.81,7769.23,0.0,0.0,0.0,0.0,0.0,503.43,0.0
ABGP0001160,9994.05,,,,,,,,,,,,,,,,,,
ABGP0001161,9994.05,,,,,,,,,,13000.03,4414.33,0.0,0.0,0.0,0.0,0.0,440.5,0.0
ABGP0001162,6956.99,,,,,,,,,,,,,,,,,,
ABGP0001163,26097.54,,,,,,,,,,25779.7,24543.69,0.0,0.0,0.0,0.0,94.39,0.0,0.0
ABGP0001164,12466.08,11971.67,0.0,0.0,0.0,0.0,0.0,,489.59,,12499.98,12499.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABGP0001165,10947.55,4308.39,0.0,0.0,0.0,0.0,0.0,,1422.19,0.0,7062.93,7062.93,0.0,0.0,0.0,0.0,0.0,125.86,0.0
ABGP0001166,15619.68,,,,,,,,,,,,,,,,,,
