id,raw_gas_mcf/d,sales_gas_mcf/d,ethane__c2_bbl/d,propane__c3_bbl/d,butane__c4_bbl/d,pentane_plus__c5+_bbl/d,natural_gas_liquids_bbl/d,sulphur_ton/d,sub_type,location,injection_mcf/d,shrinkage_mcf/d,fuel_mcf/d,flared_mcf/d,other_mcf/d
ABGP0001129,160055.16,146272.31,0.0,0.0,0.0,108.22,1528.62,0.0,Gas Plant Sulphur Recovery,13-26-067-05W6M,60.38,9890.38,3738.0,467.75,0.0
ABGP0001130,6489.7,5542.35,0.0,0.0,0.0,53.94,224.35,0.0,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,02-27-040-03W5M,0.0,437.9,210.29,295.28,0.0
ABGP0001131,473.22,473.22,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,10-13-030-07W5M,0.0,0.0,0.0,0.0,0.0
ABGP0001132,5537.11,4867.39,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Acid Gas Injection,10-18-076-25W4M,0.0,0.0,816.45,2.16,0.0
ABGP0001133,217289.3,198475.12,0.0,0.0,0.0,373.27,7829.77,0.0,Gas Plant Sulphur Recovery,11-35-037-09W5M,0.0,14678.71,5988.68,317.26,0.0
ABGP0001134,11435.69,5799.35,0.0,0.0,0.0,44.94,332.93,58.95,Gas Plant Sulphur Recovery,02-04-021-04W5M,0.0,2518.16,2571.82,415.0,0.0
ABGP0001135,113.01,61.74,0.0,0.0,0.0,2.6,11.85,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,10-17-064-13W5M,9.0,18.11,19.25,27.11,0.0
ABGP0001136,4121.9,3950.69,0.0,0.0,0.0,21.7,0.0,0.0,Gas Plant Sweet,16-02-035-09W4M,0.0,25.06,217.24,0.0,0.0
ABGP0001137,232.14,64.15,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,11-31-039-26W4M,0.0,6.47,23.78,0.0,137.73
ABGP0001138,3515.29,2593.92,0.0,0.0,0.0,55.21,229.1,0.0,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,06-28-051-08W5M,0.0,317.72,195.03,147.52,0.0
ABGP0001139,1330.07,908.76,0.0,0.0,0.0,7.15,0.0,4.61,Gas Plant Sulphur Recovery,05-27-029-28W4M,0.0,181.75,324.78,65.8,0.0
ABGP0001140,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,14-33-043-27W4M,0.0,0.0,5.77,0.0,0.0
ABGP0001141,13006.62,11576.26,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sulphur Recovery,04-02-037-10W5M,0.0,0.0,1811.3,0.0,0.0
ABGP0001143,5299.25,4963.19,0.0,0.0,0.0,41.96,176.3,0.0,Gas Plant Sweet,13-16-040-05W5M,0.0,243.9,260.64,0.0,0.0
ABGP0001144,119951.04,88728.55,0.0,0.0,0.0,0.0,4169.94,447.53,Gas Plant Sulphur Recovery,03-15-059-18W5M,0.0,19343.09,8631.81,423.32,0.0
ABGP0001145,4151.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas Plant Sweet,12-23-110-07W6M,1398.7,2745.95,0.0,0.0,6.95
ABGP0001147,289872.66,266361.18,0.0,0.0,0.0,0.0,5997.94,327.21,Gas Plant Sulphur Recovery,11-18-074-12W6M,0.0,18002.39,2428.28,484.84,9557.51
ABGP0001148,616.64,414.66,0.0,0.0,0.0,0.0,0.1,0.0,Gas Plant Sweet,10-22-051-08W5M,0.0,0.11,158.57,0.0,0.0
ABGP0001149,1581.19,1403.13,0.0,0.0,0.0,21.36,72.51,0.0,Gas Plant Sweet,06-15-048-03W5M,0.0,97.74,12.76,2.16,0.0
