id,status,name,type,plant_name,current_operator,co-owner,constructed_date,latitude,longitude,sub_type,location
ABGP0001667,Suspended,Shane Gas Plant,GP,Shane Gas Plant,Repsol Oil & Gas Canada Inc.,100.0% - Hanna Oil & Gas Company - Canada Ulc ,,55.75868,-118.29697,Gas Plant Sweet,07-18-078-02W6M
ABGP0001668,Active,Spectra Gordondale East Gas Plant,GP,Gordondale East,Northriver Midstream,100.0% - Northriver Midstream Inc.,1991-01-01,55.87797,-119.29564,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,11-26-079-09W6M
ABGP0001669,Active,Wolf South 5-1-51-15W5,GP,Wolf South,Cenovus Energy Inc.,100.0% - Cenovus Energy Inc.,1993-01-01,53.37297,-116.08638,Gas Plant Sweet,05-01-051-15W5M
ABGP0001670,Reclamation Exempt,Altagas Antelope,GP,Antelope,Campus Energy Partners Operations Inc.,100.0% - Altagas Ltd.,,51.57559,-110.00669,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,16-13-030-01W4M
ABGP0001671,Suspended,Kereco Bilawchuk,GP,Mulligan,Kelt Exploration Ltd.,100.0% - Kelt Exploration Ltd.,,56.00761,-119.07237,Gas Plant Sweet,09-07-081-07W6M
ABGP0001672,Active,Central Watelet Gp 08-18,GP,Watelet,Tenaz Energy Corp.,,1995-01-01,53.14006,-113.78577,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,08-18-048-26W4M
ABGP0001673,Active,Queenstown 4-22-19-21W4,GP,Queenstown,Canadian Natural Resources Limited,100.0% - Canadian Natural Resources Limited,1993-01-01,50.61697,-112.84126,Gas Plant Sweet,04-22-019-21W4M
ABGP0001674,Active,Journey Herronton,GP,Herronton,Journey Energy Inc.,100.0% - Journey Energy Inc.,1992-01-01,50.60331,-113.37637,Gas Plant Sweet,01-15-019-25W4M
ABGP0001675,Suspended,Husky Stewart Lake 1-23,GP,Stewart Lake,Ember Resources Inc.,10.0% - Bumper Development Corporation Ltd.; 18.0% - Eog Resources Canada Inc.; 72.0% - Ember Resources Inc.,1993-01-01,51.75392,-113.85709,Gas Plant Sweet,01-23-032-28W4M
ABGP0001676,Active,Midwest Leduc-Woodbend,GP,Calmar,Aspenleaf Energy Limited,100.0% - Aspenleaf Energy Limited,1997-01-01,53.2417,-113.839,Gas Plant Acid Gas Flaring > 1 T/D Sulphur,07-23-049-27W4M
ABGP0001677,Suspended,Bonavista Cessford,GP,Cessford,Journey Energy Inc.,100.0% - Journey Energy Inc.,1970-01-01,50.98877,-111.74048,Gas Plant Sweet,11-27-023-13W4M
ABGP0001678,Active,Kakut 14-12-75-3W6,GP,Kakut,Long Run Exploration Ltd.,100.0% - Long Run Exploration Ltd.,,55.48957,-118.32574,Gas Plant Sweet,14-12-075-03W6M
ABGP0001679,Active,Bonavista Cherhill,GP,Cherhill Solution Gas Conservation,Long Run Exploration Ltd.,100.0% - Long Run Exploration Ltd.,,53.86325,-114.75226,Gas Plant Acid Gas Flaring < 1 T/D Sulphur,02-25-056-06W5M
ABGP0001680,Suspended,Surge Hotchkiss,GP,Stowe Creek,Surge Energy Inc.,100.0% - Surge Energy Inc.,1994-01-01,57.06722,-118.03132,Gas Plant Sweet,08-14-093-01W6M
ABGP0001681,Active,Northrock Deanne 5-4,GP,Deane,Taqa North Ltd.,85.4% - Taqa North Ltd.; 14.6% - Westbow Energy Inc.,,52.32325,-115.53373,Gas Plant Sweet,05-04-039-11W5M
ABGP0001682,Active,Saleski 5-8,GP,Thickwood,Sequoia Resources Corp.,62.0% - Sequoia Resources Corp.; 30.0% - Harvest Operations Corp.; 8.0% - Progress Energy Resources Corp.,1985-01-01,56.61366,-112.84907,Gas Plant Acid Gas Injection,05-08-088-18W4M
